,PARK_NAME,PARK_TYPE,SUB_TYPE,AREA_HECTARES,ACCESS_POINTS
596,ROYAL SALISBURY PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.5870000000000001,"ROYAL SALISBURY WAY, CARL DALLII CRT, CAVALIER CRT"
597,FARAD POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.6019999999999999,PECAN DR
598,NEWTON PARK,NEIGHBOURHOOD PARKS,LOCAL,1.551,"NEWTON CRT, DANTEK CRT, SKELTON BLVD"
599,BECK VALLEY,ENVIRONMENTAL PARKS,VALLEY,8.649,"ICECAP CRT, KOOTENAY PL, STONECREST DR, SWITCHBACK TRAIL, PINE LANDING TRAIL, TRAILHEAD CRES, FRESHSPRING DR, CEDARCLIFF TRAIL"
600,TRUDELLE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,1.558,"TRUDELLE CRES, LUELLA CRES, BRIDALE DR"
601,ASHURST PARK,NEIGHBOURHOOD PARKS,LOCAL,3.28,"ASHURST CR, WIKANDER WAY, MARTREE CR, WINTERFOLD DR"
602,JACKSONVILLE PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.528,JACKSONVILLE DR
603,CCA WILD WATER KINGDOM,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,43.576,
604,VALLEYLANDS 772,ENVIRONMENTAL PARKS,VALLEY,31.592,
605,CONSERVATION LANDS 999,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CONSERVATION AREA,6.572,
606,HAZELWOOD PARK NORTH,ENVIRONMENTAL PARKS,VALLEY,0.995,"HOWDEN BLVD, LANGLEY PL, HAZELWOOD DR"
607,KANEFF PARK,NEIGHBOURHOOD PARKS,LOCAL,1.9169999999999998,PAGEBROOK CT
608,CARUSO PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.006,"MILL ST S, WESTGATE WK"
609,NORTHAMPTON PARK,NEIGHBOURHOOD PARKS,LOCAL,6.211,"NORTHAMPTON ST, NORTH PARK DR, NEPTUNE CT, NANPORT ST, NORMA CR"
610,WALLEYE CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,0.972,WESTCREEK BLVD
611,STEELWELL CHANNEL SOUTH ,ENVIRONMENTAL PARKS,CHANNEL,1.382,WESTCREEK BLVD
612,BARRY POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.943,"MCLAUGHLIN RD, VAN KIRK DR"
613,STEELWELL CHANNEL NORTH,ENVIRONMENTAL PARKS,CHANNEL,0.35100000000000003,STEELWELL RD
614,LANSING SQUARE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.109,"LANSING SQ, SANDALWOOD PY E "
615,BRIGHTON PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.15,"BRIGHTON PL, SPRUCEDALE CRT, CRANMORE CRT"
616,CREDITVIEW SANDALWOOD PARK,CITY PARKS,VALLEY,29.839000000000002,
617,FENTON VALLEY,ENVIRONMENTAL PARKS,VALLEY,20.320999999999998,"RYCKMAN LANE, FENTON WAY"
618,LORENZO PARK,NEIGHBOURHOOD PARKS,LOCAL,0.503,"TEMPLEHILL RD, NAPERTON DR"
619,PURPLE LILAC PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.306,DEGREY DR
620,SPRINGDALE FOREST,ENVIRONMENTAL PARKS,WOODLOT,13.386,"PETER ROBERTSON BV, FERNFOREST DR"
621,BLACK FOREST PARK SOUTH,NEIGHBOURHOOD PARKS,LOCAL,3.804,"BLACK FOREST DR, BUNCHBERRY WAY, WILLOW PARK DR"
622,COVENTRY CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,1.953,"SANDALWOOD PKWY, NAPA VALLEY CRES, FIDELITY AVE, WARWICK WAY, LILYPAD RD, WESTMEADOW DR"
623,CRYSTALVIEW PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.8029999999999999,"CRYSTAL VIEW CRES, CARINO GATE, ATTMAR DR"
624,ATKINS PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.20199999999999999,"MAJOR WILLIAMS SHARPE DR, CHINGUACOUSY RD, ATKINS CIR"
625,UPPER RIDGE VISTA,ENVIRONMENTAL PARKS,VISTA,0.258,HIGHVALLEY CIR
626,BRAMPTON FIRE TRAINING,OPERATIONS/ADMINISTRATION FACILITIES,OPERATIONS/ADMINISTRATION FACILITY,2.085,GLIDDEN RD
627,MAITLAND PARK NORTH,ENVIRONMENTAL PARKS,VALLEY,5.716,"MAITLAND ST, NORTH PARK DR, MADISON ST, MALABAR CRES, MACKAY ST S"
628,MANSWOOD PARK,ENVIRONMENTAL PARKS,VALLEY,2.428,MANSWOOD CRES
629,CANTRILL PARK,NEIGHBOURHOOD PARKS,LOCAL,3.488,"MOUNT FOREST DR, CANTRILL CRT, DAWNRIDGE TRAIL, BLUERIDGE SQ"
630,SAVANNAH SPARROW WOODS,ENVIRONMENTAL PARKS,WOODLOT,10.609000000000002,COTTRELLE BLVD
631,DOWNS BUGGY CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,2.74,"TORBRAM RD, CORPORATION DR"
632,MAJOR OAKS PARK,NEIGHBOURHOOD PARKS,LOCAL,5.763999999999999,WILLIAMS PKWY E
633,KOOTENAY VISTA,ENVIRONMENTAL PARKS,VISTA,0.03,KOOTENAY PL
634,ROSEPAC PARK,NEIGHBOURHOOD PARKS,LOCAL,1.33,"ROSEPAC AVE, METZAK DR"
635,EBENEZER RECREATION CENTRE,COMMUNITY PARKS,COMMUNITY PARK,0.302,EBENEZER RD
636,GARDEN SQUARE,CITY PARKS,CITY PARK,0.151,"QUEEN ST E, MAIN ST N"
637,BRAMALEA LTD COMMUNITY PARK,COMMUNITY PARKS,COMMUNITY SPORTS PARK,15.482000000000001,"NUFFIELD ST, WILLIAMS PKY, NORDIQUE PL"
638,MANITOU PARK,ENVIRONMENTAL PARKS,VALLEY,11.767999999999999,"NORTH PARK DR, MYNA CT, MOREGATE CR, BOVAIRD DR E, MACKAY ST N, MANITOU CR"
639,MANSWOOD PARK SOUTH,ENVIRONMENTAL PARKS,VALLEY,2.249,MANSWOOD CRES
640,TORBRAM SANDALWOOD COMMUNITY PARK,COMMUNITY PARKS,COMMUNITY SPORTS PARK,13.118,"TORBRAM RD, SANDALWOOD PRKY"
641,LOWES AVENUE PARKETTE NORTH,NEIGHBOURHOOD PARKS,PARKETTE,0.162,"ROSEDALE AV, LORNE AV, VODDEN ST"
642,LOWES AVENUE PARKETTE SOUTH,NEIGHBOURHOOD PARKS,PARKETTE,0.17800000000000002,"ROSEDALE AV, LORNE AV, VODDEN ST"
643,HEREFORD POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.778,HEREFORD ST
644,WESTCREEK CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,1.7990000000000002,
645,WALKER CHANNEL WEST,ENVIRONMENTAL PARKS,CHANNEL,1.6969999999999998,"WALKER DR, CLARK DR"
646,GREENMOUNT PARK SOUTH,ENVIRONMENTAL PARKS,OPEN SPACE,1.672,"GREENMOUNT RD, QUEEN ST E, GENEVA CRES"
647,SOFTNEEDLE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.252,SECLUSION CRES
648,ICEBOX CHANNEL EAST,ENVIRONMENTAL PARKS,CHANNEL,2.335,"WESTCREEK BLVD, TOMKEN RD"
649,MASSEY PARK,ENVIRONMENTAL PARKS,WOODLOT,5.377999999999999,"MASSEY ST, MACKAY ST N, MORLEY CR, MARCHMOUNT CR, MANDARIN CR"
650,NORTON PLACE PARK,COMMUNITY PARKS,COMMUNITY PARK,15.08,"CLARK BV, LISA ST, QUEEN ST E "
651,NUFFIELD PARK,ENVIRONMENTAL PARKS,OPEN SPACE,4.1930000000000005,"NOVELLA PL, NIAGARA PL, NASMITH ST, NEWGREEN CRES, NEWGATE PL, NUFFIELD ST, NOBEL PL"
652,MAINS CREEK CHANNEL EAST,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CHANNEL,1.177,"WILLIAMS PKWY, VODDEN ST W, MCLAUGHLIN RD N"
653,MAINS CREEK CHANNEL WEST,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CHANNEL,1.5119999999999998,"WILLIAMS PKWY, VODDEN ST W, MCLAUGHLIN RD N"
654,BREADNER WAY EAST,ENVIRONMENTAL PARKS,LINK,0.639,LEAGATE ST
655,BREADNER WAY WEST,ENVIRONMENTAL PARKS,LINK,0.251,LEAGATE ST
656,GATEWAY CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,1.5919999999999999,WALKER DR
657,SORBY POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.884,"CREDITVIEW RD, WORTHINGTON AVE, CREDITVIEW RD"
658,KENNETH CHISHOLM POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.3619999999999999,"LUELLA CRES, WORTHINGTON AVE, SCHOONER DR"
659,RIDGEHILL PARK,ENVIRONMENTAL PARKS,VALLEY,14.51,"ELGIN DR, RIDGEHILL DR, PARKEND AV, FLETCHER DR, HAROLD ST"
660,LASCELLES PK CENTRAL,ENVIRONMENTAL PARKS,VALLEY,1.6540000000000001,"LORD SIMCOE, LEANDER RD"
661,FAIRWAY POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.0290000000000001,FAIRWAY CRT
662,ANDREW McCANDLESS POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.733,
663,ANDREW MCCANDLESS PARK,COMMUNITY PARKS,COMMUNITY SPORTS PARK,16.304000000000002,"MISSISSAUGA RD,"
664,EAST RUTHERFORD ROAD SOUTH CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,0.33799999999999997,RUTHERFORD RD S
665,SUMMER VALLEY PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.8809999999999999,SUMMER VALLEY DR
666,JORDAN PARK,NEIGHBOURHOOD PARKS,LOCAL,3.4730000000000003,"JORDAN BLVD, JAYFIELD RD, JOSHUA CRT, JUDITH CRES, JEREMY PL"
667,GREENMOUNT PARK NORTH,ENVIRONMENTAL PARKS,LINK,2.254,"GREENMOUNT RD, CENTRAL PARK DR, GLENVALE BLVD, GAILWOOD CRT"
668,WHITE SPRUCE VALLEY,ENVIRONMENTAL PARKS,VALLEY,9.277000000000001,"SANDALWOOD PKWY E, ESKER  DR, FORESTGROVE CL"
669,SHUTER PARKETTE,ENVIRONMENTAL PARKS,LINK,0.115,"CHURCHVILLE RD,SHUTER LANE"
670,SHEFFIELD PARK EAST,ENVIRONMENTAL PARKS,LINK,0.408,"BOVAIRD DR E, HINCHLEY WOOD GR, DAWSON CRES, COLLINS CRES"
671,PATRICK TRAINOR PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.5,"MINISTER RD, JAYPEAK RD, JOHN CARROLL DR"
672,EVERGLADE VALLEY,ENVIRONMENTAL PARKS,VALLEY,34.0,"EDGEFOREST DR, GRAFTON CRES, FENTON WAY"
673,CONSERVATION DRIVE PARK,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CONSERVATION AREA,50.748000000000005,"VALLEYVIEW RD, MAYFIELD RD,RAVENSCROFT CIR"
674,RAY LAWSON VALLEY,ENVIRONMENTAL PARKS,VALLEY,14.71,"RAY LAWSON BV, MALTA AV, NEW LONDON CT, PARSONBY CT, BERKINDALE CT"
675,GORE MEADOWS COMMUNITY PARK - WEST,COMMUNITY PARKS,OPEN SPACE,43.753,"MCVEAN DR, CASTLEMORE RD"
676,SUMMER VALLEY POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.631,"SUMMER VALLEY DR, MAYFIELD RD, THORNDALE RD"
677,HAZELWOOD PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.141,"HAZELWOOD CRT, HAZELWOOD DR"
678,SNOWCAP PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.925,"SNOWCAP RD, SNOW LEOPARD CT"
679,LORENVILLE PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.792,"LORENVILLE DR, LAMPMAN CRES, LOUISBURG CRES"
680,MICHAEL MURPHY PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,2.025,"DINOSAUR ST, MARTIN BYRNE DR, SQUIRE ELLIS DR,LANDVIEW RD"
681,MINNIE BRIGHTWELL POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.24,
682,MOUNT PLEASANT VILLAGE COMMUNITY CENTRE AND LIBRARY,COMMUNITY PARKS,COMMUNITY PARK,0.293,"SIDFORD RD, COMMUTER DR"
683,WEGENAST VALLEY,ENVIRONMENTAL PARKS,VALLEY,8.343,"WEXFORD RD,  BOVAIRD DR E, DUNDALK CR, SUNFOREST DR"
684,MALDIVES CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,2.227,"RUFFORD DR, LINSTOCK DR,MALVDIVES CRES, WHITEWELL DR"
685,GORE MEADOWS COMMUNITY PARK - EAST,COMMUNITY PARKS,COMMUNITY SPORTS PARK,49.242,"CASTLEMORE RD, THE GORE RD"
686,FITZPATRICK VALLEY,ENVIRONMENTAL PARKS,VALLEY,5.105,"FITZPARTRICK DR, PRINCESS ANDREA CT"
687,MILLSTONE WALK,ENVIRONMENTAL PARKS,LINK,1.82,"MILLSTONE DR, PENNSYLVANIA AV, KINGKNOLL DR"
688,ICELANDIC CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,1.8880000000000001,MCLAUGHLIN RD
689,MIDCREST POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.6980000000000002,
690,BILL BETTRIDGE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.828,
691,WHEATFIELD VALLEY,ENVIRONMENTAL PARKS,VALLEY,12.92,"MOUNTAINASH RD, KLONDIKE TRAIL, HAVILAND CIR, AIRPORT RD, UNGAVA BAY RD, DECKMAN ST"
692,ICELANDIC CHANNEL NORTH,ENVIRONMENTAL PARKS,CHANNEL,2.224,"ACCENT CIR, AMARANTH CRES"
693,ODLUM VALLEY,ENVIRONMENTAL PARKS,VALLEY,6.125,"AIRPORT RD, COUNTRYSIDE DR"
694,HELIOTROPE CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,3.089,
695,DIXIE SANDALWOOD PARK,COMMUNITY PARKS,COMMUNITY PARK,11.782,SANDALWOOD PKWY E
696,KIDD VALLEY NORTH,ENVIRONMENTAL PARKS,VALLEY,3.8960000000000004,COTTRELLE BLVD
697,WEXFORD PARK,ENVIRONMENTAL PARKS,VALLEY,10.162,"WEXFORD RD,  BOVAIRD DR E, DUNDALK CR, SUNFOREST DR"
698,ETOBICOKE CREEK DIVERSION CHANNEL NORTH,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CHANNEL,0.674,DANGER - CONCRETE DRAINAGE CHANNEL.  NO PUBLIC ACCESS.
699,CAMDEN PARK WEST,ENVIRONMENTAL PARKS,VALLEY,0.29600000000000004,"SUMMERTIME CT, SUNFOREST DR, CORONATION CL, CLEARVIEW CT, DALZELL AV"
700,HICKORY WOOD PARK,NEIGHBOURHOOD PARKS,PARKETTE,5.572,"KINGKNOLL DR, RAY LAWSON BV, CANARVAN CT, ACADIAN HTS, TULIP DR, O'HARA PL"
701,LEWIS POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.53,"OUTLOOK AVE, NEOPOLITAN RD, VICTORIA ST"
702,EMERICK CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,1.911,"INGLEBOROUGH DR, "
703,JENNINGS PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.8190000000000001,"PARITY RD, BUCHANAN CRES, EBURY DR"
704,DAVENFIELD POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.8359999999999999,"EBENEZER RD, EBENEZER RD"
705,BURNT ELM PARK,NEIGHBOURHOOD PARKS,LOCAL,2.085,BURNT ELM DR
706,HUTCHINSON POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.005,"BOTAVIA DOWNS DR, ORANGEGROVE DR,"
707,FIGG VALLEY,ENVIRONMENTAL PARKS,VALLEY,7.031000000000001,"CORTELLE BLVD, GANDER CRES, HORIZON ST, BAYRIDGE DR,"
708,HILLDALE PARK SOUTH,ENVIRONMENTAL PARKS,VALLEY,2.615,"HILLDALE CR, HYDE PARK CT, HAYDEN CT, HUCKLEBERRY SQ, CENTRAL PARK DR"
709,GOLDCREST PARK,NEIGHBOURHOOD PARKS,LOCAL,3.2,"CENTRAL PARK DR, GLENEADEN CRT, GLENVALE BLVD, GRAND RIVER CRT, GREENBUSH CRT, GREENARROW CRT, GLENMORE CRES"
710,ETOBICOKE CREEK DIVERSION CHANNEL,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CHANNEL,0.6409999999999999,DANGER - CONCRETE DRAINAGE CHANNEL.  NO PUBLIC ACCESS.
711,COLT PARKETTE,NEIGHBOURHOOD PARKS,VISTA,0.05,COLT LANE
712,CAPTAIN FRANK CHANNEL NORTH,ENVIRONMENTAL PARKS,VALLEY,1.749,"TEMPLEHILL RD,COUNTRYSIDE DR"
713,CAPTAIN FRANK CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,5.153,"DIXIE RD, SANDALWOOD PY E"
714,TRANS CANADA PIPELINE,ENVIRONMENTAL PARKS,LINK,0.9620000000000001,"KENNEDY RD, RICHVALE DR S, ALLENHEAD CRES, SUNSTRUM PL"
715,VALLEYDOWN PARK,NEIGHBOURHOOD PARKS,LOCAL,1.702,"WILLERTON CLOSE, VALONIA DR"
716,POTTERS WHEEL POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.224,"POTTERS WHEEL GATE, MCLAUGHLIN RD"
717,ICEBOX CHANNEL WEST,ENVIRONMENTAL PARKS,CHANNEL,1.62,"WESTCREEK BLVD, TOMKEN RD"
718,TUFFLEY POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.227,"WANLESS DR, MCLAUGHLIN RD"
719,HACKETT VALLEY,ENVIRONMENTAL PARKS,VALLEY,10.614,"SWITCHBACK TRAIL, STONECRES DR, AIRPORT RD"
720,EARNSCLIFFE PARK,COMMUNITY PARKS,COMMUNITY PARK,16.276,"CLARK BLVD, ELROSE RD, EARLTON CRT, EASTBOURNE DR, EARNSCLIFFE CIRCLE"
721,LARGE CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,9.185,EARLSBRIDGE BLVD
722,CAMDEN PARK EAST,ENVIRONMENTAL PARKS,VALLEY,9.448,"SUMMERTIME CT, SUNFOREST DR, CORONATION CL, CLEARVIEW CT, DALZELL AV"
723,LOAFER'S LAKE PARK ISLAND,COMMUNITY PARKS,COMMUNITY PARK,0.214,"LOAFER'S LAKE LANE, SANDALWOOD PY E"
724,CANTRILL PARK NORTH,NEIGHBOURHOOD PARKS,LOCAL,0.31,"MOUNT FOREST DR, CONSERVATION DR"
725,DIXIE HWY 407 PARK,CITY PARKS,CITY SPORTS PARK,40.039,DIXIE RD NORTHBOUND ONLY
726,BURTON PARK,NEIGHBOURHOOD PARKS,LOCAL,2.5469999999999997,"BURTON RD, CLIPSTONE CT, MOORE ST, WILLIAMS PY W"
727,MANORCREST PARK,NEIGHBOURHOOD PARKS,LOCAL,2.88,"MANORCREST ST, MACKAY ST S, MEADOW BUSH CRT"
728,GLENFOREST PARK SOUTH,NEIGHBOURHOOD PARKS,LOCAL,2.761,"GLENFOREST RD, GRENOBLE BLVD, CENTRAL PARK DR"
729,ESKER VALLEY,ENVIRONMENTAL PARKS,VALLEY,8.207,"COUNTRYSIDE DR, PRINCEFIELD PL, MOLDOVAN DR, FINLAYSON CRES, FATHER TOBIN RD"
730,TEMPLETON VALLEY,ENVIRONMENTAL PARKS,VALLEY,1.1420000000000001,"THE GORE RD, TEMPLETON CRT"
731,BURRELLS HOLLOW,ENVIRONMENTAL PARKS,VALLEY,29.905,"CROCKER DR,CASTLEMORE DR,"
732,SPARROW PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.941,"SPARROW CT, CHERRYTREE DR"
733,SOUTH FLETCHERS CREEK PARK,ENVIRONMENTAL PARKS,VALLEY,8.533,"ELGIN DR, MCLAUGHLIN RD S, CHAROLAIS BLVD"
734,KEN PARK,ENVIRONMENTAL PARKS,VALLEY,13.504000000000001,"KENPARK AVE, BURTREE DR, FERNBROOK CRES, KENNEDY RD N, HACIENDA CRT, ARCHER CRT, CHRISTIE DR"
735,HEATHERGLEN PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.8690000000000001,"BORRELLI DR,HEATHERGLEN DR"
736,TERRYHILL PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.076,"TERRYHILL SQ, SANDALWOOD PKY E"
737,FENWICK PARK,NEIGHBOURHOOD PARKS,WETLAND,2.823,"HEART LAKE RD, HEARTVIEW RD"
738,DAVID LAWRENCE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.814,"CREDITVIEW RD, WILLIAMS PKY, VALLEYWAY DR, PERSONNA CIR"
739,NORMAN PRICES POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.237,"WILLIAMS PKWY, DEGRASSI COVE CIR"
740,AMERICAN TOAD CHANNEL,ENVIRONMENTAL PARKS,VALLEY,2.029,
741,TRACEY CHANNEL EAST,ENVIRONMENTAL PARKS,CHANNEL,1.094,DELTA PARK BLVD
742,TRACEY CHANNEL WEST,ENVIRONMENTAL PARKS,CHANNEL,1.095,DELTA PARK BLVD
743,NEWCASTLE PARK,ENVIRONMENTAL PARKS,VALLEY,2.222,"NEWCASTLE CRES, NORTHHAMPTON ST, WILLIAMS PKY"
744,CHESS PARK,CITY PARKS,CITY PARK,0.034,MAIN ST N
745,HANSEN ROAD SOUTH CHANNEL WEST,ENVIRONMENTAL PARKS,CHANNEL,0.028999999999999998,HANSEN RD S
746,HANSEN ROAD SOUTH CHANNEL EAST,ENVIRONMENTAL PARKS,CHANNEL,0.685,"HANSEN RD SOUTH, RUTHERFORD RD SOUTH"
747,KUEHNE PARK NORTH,ENVIRONMENTAL PARKS,VALLEY,4.303999999999999,"ALFRED KUEHNE BLVD, STEELES AVE"
748,RUNIANS PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.531,"DOLBYHILL DR, ZELDA RD,"
749,ROYCE PARK,ENVIRONMENTAL PARKS,VALLEY,5.986000000000001,"ROYCE AVE, BUFFORD DR"
750,JOHN ERVINE VALLEY,ENVIRONMENTAL PARKS,VALLEY,5.314,"MAYFIELD RD, GOREWAY RD, CONCORDE DR, LAURENTIDE CRES, SAINT HUBERT DR"
751,NORTH WANLESS CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,2.35,
752,BLUE OAK PARK,NEIGHBOURHOOD PARKS,LOCAL,5.986000000000001,"FERNFOREST DR, DIXIE RD, SPRINGTOWN TRAIL, RAINFOREST DR, BLUE OAK AVE"
753,RM WELLS PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.5379999999999999,"YELLOW AVENS BLVD, FOOTBRIDGE CRES, SUMMITGREEN CRES"
754,JOSE MANUEL CARDOSO PARKETTE,ENVIRONMENTAL PARKS,OPEN SPACE,0.784,"NORTH PARK DR, BRAMALEA RD"
755,HOLMES CHANNEL,ENVIRONMENTAL PARKS,VALLEY,6.207999999999999,MCLAUGHLIN RD
756,DANIEL BOYLE PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.502,"HERRINGBONE CRES, BELLADONNA CIR"
757,CARLETON CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,0.9740000000000001,"PRIVATE RD, "
758,FALLINGDALE PARK,ENVIRONMENTAL PARKS,OPEN SPACE,4.896,"CLARK BLVD, BRAMALEA RD, QUEEN ST E, FONTAINE CRT"
759,WORTHINGTON PARK,NEIGHBOURHOOD PARKS,LOCAL,1.936,"WORTHINGTON AVE, HEATHERDALE DR"
760,LAKE OF DREAMS,NEIGHBOURHOOD PARKS,LOCAL,4.018,"FOUNTAINVIEW WAY, BOVAIRD DR E"
761,SPEARHEAD VALLEY,ENVIRONMENTAL PARKS,CHANNEL,2.496,"EIFFEL BLVD, LOUVAIN DR, LOUVRE CIR, FOUNTAINBLEU RD, GOREWAY DR"
762,VALLEYLANDS 766,ENVIRONMENTAL PARKS,VALLEY,12.975,
763,WILMONT POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.245,"DUNLOP CRT, WILMONT CRT"
764,HEARTVIEW MARSH,ENVIRONMENTAL PARKS,WETLAND,2.035,"HEART LAKE RD, HEARTVIEW RD"
765,SKYVALLEY PARK,NEIGHBOURHOOD PARKS,LOCAL,0.215,"SKYVALLEY DR, RIVER HEIGHTS DR"
766,JORDANAS RAINBOW PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.608,"ASPERMONT CRES, ALTURA WAY, APPLE VALLEY WAY"
767,KUEHNE PARK SOUTH,ENVIRONMENTAL PARKS,VALLEY,5.356,"ALFRED KUEHNE BLVD, STEELES AVE"
768,TILBURY CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,0.9640000000000001,"TILBURY CRT, "
769,TUMBLEWEED PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.556,"TUMBLEWEED TR, LAURAGLEN CR"
770,TED BECKFORD POND,ENVIRONMENTAL PARKS,WETLAND,3.6239999999999997,
771,CCA INDIAN LINE CAMPGROUND,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,21.47,
772,REED PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.413,"PALMOLIVE ST, SAHARA TRAIL, ROYAL SPRINGS CR, LADY BELLE CR"
773,SID MANSER PARK,NEIGHBOURHOOD PARKS,LOCAL,2.91,"NOVA SCOTIA RD, CREDITVIEW RD"
774,FRED KLINE PARK,COMMUNITY PARKS,COMMUNITY SPORTS PARK,8.274,"MCLAUGHLIN RD N, BROOKVIEW RD, FAIRGLEN AV"
775,GORE BOCCE CLUB,LEASED RECREATION FACILITY LANDS,LEASED RECREATION FACILITY LANDS,0.046,
776,CASTLEMORE PARK,ENVIRONMENTAL PARKS,VALLEY,4.463,FITZPATRICK DR
777,STEPHEN LLEWELLYN RECREATIONAL TRAIL EAST,ENVIRONMENTAL PARKS,VALLEY,7.355,"SOARING ROCK CRT, COUGAR CRT, MOUNTAINBERRY RD"
778,KNIGHTSBRIDGE PARK SOUTH,NEIGHBOURHOOD PARKS,LOCAL,1.021,"KNIGHTSBRIDGE RD, CENTRAL PARK DR, KENSINGTON RD, KINGS CROSS RD"
779,CLAIREVILLE CONSERVATION AREA NORTH,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,439.037,
780,ARMAGH PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.192,"DONOMORE DR, HAVERTY TRAIL"
781,JERSEY JOHN PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.179,"STEMFORD RD, BETTERTON CRES, HAVERTY TRAIL"
782,MOUNT PLEASANT SQUARE,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.7040000000000001,COMMUTER DR
783,VALLEYLANDS 859,ENVIRONMENTAL PARKS,VALLEY,6.707999999999999,
784,DAMATTA PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.8490000000000001,"CREDITVIEW RD, DAMATTA RD,"
785,BACH PARK,NEIGHBOURHOOD PARKS,LOCAL,1.119,"CHAROLAIS BV, MCLAUGHLIN RD S, CHOPIN CR, BACH BV, VIVADI CR"
